t,x,y,z,v_x,v_y,v_z,M
350.666313952555,4462491.742359401,-5047868.5101440335,588387.4209404498,2767.853189744647,1689.4604521264127,32.651746778454104,29130.037034981768
351.14631395255503,4463820.909855657,-5047055.706599979,588402.9975791678,2770.3459709816466,1697.2223719764083,32.250886527773915,29079.637034981766
351.62631395255505,4465151.275702638,-5046239.175329263,588418.3817645265,2772.8463215655834,1704.992652291368,31.849857589489055,29029.237034981765
352.10631395255507,4466482.843539116,-5045418.912310576,588433.5734152797,2775.354264377961,1712.7713276304137,31.448658813499225,28978.837034981763
352.5863139525551,4467815.6170148775,-5044594.913505977,588448.5724496285,2777.8698224266977,1720.5584327292945,31.047289044336264,28928.437034981762
353.0663139525551,4469149.599790784,-5043767.174860809,588463.3787852176,2780.3930188469835,1728.3540025016541,30.645747121122827,28878.03703498176
353.5463139525551,4470484.7955388315,-5042935.692303614,588477.9923391335,2782.923876902146,1736.1580720403122,30.244031877530723,28827.63703498176
354.02631395255514,4471821.207942214,-5042100.461746045,588492.4130279013,2785.462419984521,1743.970676618556,29.842142141738844,28777.237034981757
354.50631395255516,4473158.840695384,-5041261.479082782,588506.6407674825,2788.008671616336,1751.7918516914426,29.440076736390747,28726.837034981756
354.9863139525552,4474497.697504117,-5040418.740191441,588520.6754732719,2790.5626554505943,1759.6216328971152,29.037834478551847,28676.437034981755
355.4663139525552,4475837.782085573,-5039572.240932489,588534.5170600953,2793.1243952719733,1767.4600560581277,28.635414179666213,28626.037034981753
355.9463139525552,4477179.098168362,-5038721.977149152,588548.1654422068,2795.693914997727,1775.3071571827838,28.232814645513006,28575.63703498175
356.42631395255523,4478521.649492604,-5037867.944667329,588561.6205332854,2798.271238678598,1783.162972466486,27.830034676162494,28525.23703498175
356.90631395255525,4479865.439809996,-5037010.139295499,588574.8822464334,2800.856390499736,1791.0275382930984,27.42707306593169,28474.83703498175
357.38631395255527,4481210.472883876,-5036148.55682463,588587.9504941724,2803.449394781626,1798.90089123632,27.02392860333958,28424.437034981747
357.8663139525553,4482556.752489292,-5035283.193028091,588600.8251884414,2806.050275981024,1806.7830680610712,26.620600071061958,28374.037034981746
358.3463139525553,4483904.28241306,-5034414.043661558,588613.5062405937,2808.6590586919,1814.674105724893,26.21708624588583,28323.637034981744
358.8263139525553,4485253.066453835,-5033541.104462918,588625.9935613939,2811.2757676463925,1822.5740413793578,25.813385898663427,28273.237034981743
359.30631395255534,4486603.108422178,-5032664.37115218,588638.2870610153,2813.900427715767,1830.482912371493,25.409497794265782,28222.83703498174
359.78631395255536,4487954.412140622,-5031783.839431381,588650.3866490367,2816.5330639113863,1838.4007562452182,25.005420691535893,28172.43703498174
360.2663139525554,4489306.981443737,-5030899.504984486,588662.2922344399,2819.173701385689,1846.3276107427948,24.60115334324146,28122.03703498174
360.7463139525554,4490660.820178202,-5030011.363477298,588674.0037256064,2821.822365433176,1854.2635138062888,24.19669449602718,28071.637034981737
361.2263139525554,4492015.932202874,-5029119.410557359,588685.5210303147,2824.479081491404,1862.2085035790465,23.792042890366616,28021.237034981736
361.70631395255543,4493372.321388849,-5028223.641853854,588696.8440557373,2827.143875141993,1870.162618407184,23.38719726051361,27970.837034981734
362.18631395255545,4494729.99161954,-5027324.052977513,588707.9727084374,2829.8167721116365,1878.1258968410903,22.98215633445326,27920.437034981733
362.66631395255547,4496088.9467907455,-5026420.63952051,588718.9068943664,2832.497798273128,1886.0983776369433,22.576918833852456,27870.03703498173
363.1463139525555,4497449.190810716,-5025513.39705637,588729.6465188604,2835.1869796463884,1894.0800997582407,22.17148347400992,27819.63703498173
363.6263139525555,4498810.727600226,-5024602.321139864,588740.1914866373,2837.88434239951,1902.0711023773442,21.765848963805826,27769.23703498173
364.1063139525555,4500173.56109265,-5023687.407306909,588750.541701794,2840.589912849805,1910.0714248770373,21.360014005650932,27718.837034981727
364.58631395255554,4501537.695234028,-5022768.651074467,588760.6970678025,2843.3037174648666,1918.0811068520989,20.953977295435237,27668.437034981725
365.06631395255556,4502903.133983141,-5021846.047940446,588770.6574875077,2846.025782863638,1926.10018811089,20.547737522476172,27618.037034981724
365.5463139525556,4504269.881311585,-5020919.593383593,588780.4228631234,2848.7561358174917,1934.1287086769555,20.141293369466304,27567.637034981723
366.0263139525556,4505637.941203842,-5019989.28286339,588789.9930962297,2851.494803251318,1942.1667087906403,19.734643512420543,27517.23703498172
366.5063139525556,4507007.317657355,-5019055.111819954,588799.3680877697,2854.2418122446247,1950.2142289107214,19.327786620622863,27466.83703498172
366.98631395255563,4508378.014682603,-5018117.075673927,588808.5477380459,2856.997190032645,1958.271309716054,18.92072135657252,27416.437034981718
367.46631395255565,4509750.036303176,-5017175.169826373,588817.5319467174,2859.760964007458,1966.3379921072328,18.513446375929774,27366.037034981717
367.94631395255567,4511123.386555848,-5016229.389658672,588826.320612796,2862.5331617191164,1974.4143172082702,18.105960327461077,27315.637034981715
368.4263139525557,4512498.069490657,-5015279.730532406,588834.9136346437,2865.3138108767876,1982.5003263682877,17.69826185298377,27265.237034981714
368.9063139525557,4513874.089170979,-5014326.187789259,588843.3109099683,2868.102939349902,1990.5960611632256,17.290349587310246,27214.837034981712
369.3863139525557,4515251.449673607,-5013368.7567509,588851.5123358213,2870.900575169316,1998.7015633975668,16.88222215819158,27164.43703498171
369.86631395255574,4516630.155088827,-5012407.432718882,588859.5178085933,2873.706746528482,2006.816875106077,16.47387818626063,27114.03703498171
370.34631395255576,4518010.209520497,-5011442.210974521,588867.3272240114,2876.5214817846304,2014.9420385555625,16.0653162849746,27063.637034981708
370.8263139525558,4519391.6170861265,-5010473.086778791,588874.9404771352,2879.344809459963,2023.0770962466427,15.656535060557038,27013.237034981707
371.3063139525558,4520774.381916955,-5009500.055372208,588882.3574623538,2882.1767582428583,2031.2220909155403,15.247533111939317,26962.837034981705
371.7863139525558,4522158.508158033,-5008523.111974721,588889.5780733816,2885.017356989086,2039.3770655358885,14.838309030701517,26912.437034981704
372.26631395255583,4523543.9999683015,-5007542.251785589,588896.6022032555,2887.866634723033,2047.5420633205547,14.428861401012758,26862.037034981702
372.74631395255585,4524930.861520675,-5006557.469983276,588903.429744331,2890.7246206389427,2055.717127723481,14.019188799570973,26811.6370349817
373.22631395255587,4526319.097002122,-5005568.761725326,588910.0605882787,2893.5913441021653,2063.902302441544,13.609289795542072,26761.2370349817
373.7063139525559,4527708.710613746,-5004576.122148252,588916.4946260803,2896.4668346504177,2072.0976314164304,13.199162950498549,26710.837034981698
374.1863139525559,4529099.706570873,-5003579.546367416,588922.7317480253,2899.351121995057,2080.3031588365307,12.788806818357482,26660.437034981696
374.6663139525559,4530492.08910313,-5002579.029476909,588928.7718437074,2902.2442360223667,2088.518929138851,12.378219945317934,26610.037034981695
375.14631395255594,4531885.862454533,-5001574.566549432,588934.6148020205,2905.1462067948532,2096.744987010945,11.967400869797746,26559.637034981693
375.62631395255596,4533281.030883569,-5000566.152636178,588940.260511155,2908.0570645525554,2104.981377392861,11.556348122369728,26509.237034981692
376.106313952556,4534677.598663286,-4999553.7827667035,588945.7088585942,2910.9768397143666,2113.22814547911,11.145060225697213,26458.83703498169
376.586313952556,4536075.570081375,-4998537.451948814,588950.9597311103,2913.905562879369,2121.485336720653,10.73353569446899,26408.43703498169
377.066313952556,4537474.949440255,-4997517.155168435,588956.0130147605,2916.843264828181,2129.752996826904,10.321773035333614,26358.037034981688
377.54631395255603,4538875.741057168,-4996492.887389488,588960.8685948835,2919.789976524317,2138.0311717677578,9.909770746833043,26307.637034981686
378.02631395255605,4540277.94926426,-4995464.643553767,588965.5263560952,2922.745729115559,2146.3199077756312,9.49752731933566,26257.237034981685
378.50631395255607,4541681.578408674,-4994432.418580813,588969.986182285,2925.7105539353443,2154.61925134753,9.08504123496861,26206.837034981683
378.9863139525561,4543086.632852637,-4993396.2073677825,588974.2479566116,2928.6844825041635,2162.9292492471304,8.672310967549484,26156.43703498168
379.4663139525561,4544493.116973551,-4992356.00478932,588978.3115614991,2931.6675465309727,2171.2499485068856,8.259334982517323,26106.03703498168
379.9463139525561,4545901.035164083,-4991311.805697431,588982.1768786332,2934.659777914621,2179.5813964301487,7.846111736862952,26055.63703498168
380.42631395255614,4547310.3918322595,-4990263.604921349,588985.8437889566,2937.661208745288,2187.9236405933198,7.432639679058606,26005.237034981677
380.90631395255616,4548721.191401554,-4989211.397267408,588989.3121726656,2940.6718713059404,2196.276728848011,7.018917248986875,25954.837034981676
381.3863139525562,4550133.438310985,-4988155.177518901,588992.5819092052,2943.691798073796,2204.640709323234,6.604942877868931,25904.437034981675
381.8663139525562,4551547.137015205,-4987094.940435958,588995.6528772655,2946.7210217218076,2213.015630427612,6.190714988192047,25854.037034981673
382.3463139525562,4552962.291984597,-4986030.680755401,588998.5249547771,2949.75957512016,2221.401540851605,5.776231993636391,25803.63703498167
382.82631395255623,4554378.90770537,-4984962.393190615,589001.1980189073,2952.807491337779,2229.7984895697687,5.361492299001086,25753.23703498167
383.30631395255625,4555796.988679655,-4983890.072431407,589003.6719460555,2955.8648036438562,2238.2065258430243,4.946494300129531,25702.83703498167
383.78631395255627,4557216.5394255975,-4982813.71314387,589005.9466118487,2958.9315455093906,2246.625699220959,4.531236383833976,25652.437034981667
384.2663139525563,4558637.56447746,-4981733.309970245,589008.0218911376,2962.0077506087437,2255.0560595441452,4.115716927819329,25602.037034981666
384.7463139525563,4560060.068385719,-4980648.857528777,589009.897657992,2965.093452821209,2263.497656946483,3.699934300606204,25551.637034981664
385.2263139525563,4561484.05571716,-4979560.350413577,589011.5737856963,2968.1886862325987,2271.9505418575673,3.283886861453191,25501.237034981663
385.70631395255634,4562909.53105498,-4978467.783194478,589013.0501467452,2971.2934851368436,2280.414765005078,2.8675729602783315,25450.83703498166
386.18631395255636,4564336.49899889,-4977371.150416891,589014.3266128388,2974.407884037612,2288.890377417194,2.45099093757981,25400.43703498166
386.6663139525564,4565764.964165209,-4976270.446601663,589015.4030548788,2977.5319176499406,2297.377430425029,2.0341391243558293,25350.03703498166
387.1463139525564,4567194.931186974,-4975165.666244927,589016.2793429632,2980.665620901886,2305.8759756650975,1.617015842023677,25299.637034981657
387.6263139525564,4568626.404714039,-4974056.803817958,589016.9553463821,2983.809028936188,2314.3860650817983,1.199619402337964,25249.237034981656
388.10631395255643,4570059.389413174,-4972943.853767021,589017.4309336127,2986.9621771119523,2322.9077509299295,0.7819481073080256,25198.837034981654
388.58631395255645,4571493.889968179,-4971826.810513226,589017.705972315,2990.125101006349,2331.441085777224,0.3640002491144811,25148.437034981653
389.06631395255647,4572929.911079981,-4970705.668452375,589017.780329327,2993.2978364163287,2339.9861225069135,-0.054225889975066166,25098.03703498165
389.5463139525565,4574367.457466743,-4969580.421954808,589017.6538706594,2996.480419360354,2348.542914320317,-0.4727320376911944,25047.63703498165
390.0263139525565,4575806.53386397,-4968451.065365252,589017.3264614915,2999.672886080151,2357.1115147394557,-0.891519931848706,24997.23703498165
390.5063139525565,4577247.145024617,-4967317.593002668,589016.7979661658,3002.875273042474,2365.691977609697,-1.3105913204335593,24946.837034981647
390.98631395255654,4578689.295719199,-4966179.9991600895,589016.0682481835,3006.087616940894,2374.2843571024196,-1.7299479616906988,24896.437034981645
391.46631395255656,4580132.990735897,-4965038.278104472,589015.1371701992,3009.3099546975986,2382.888707717712,-2.1495916242127953,24846.037034981644
391.9463139525566,4581578.23488067,-4963892.42407653,589014.0045940162,3012.5423234652158,2391.505084287095,-2.56952408702991,24795.637034981643
392.4263139525566,4583025.032977366,-4962742.431290579,589012.6703805813,3015.7847606286514,2400.1335419762736,-2.989747139700088,24745.23703498164
392.9063139525566,4584473.389867835,-4961588.293934375,589011.1343899798,3019.037303806949,2408.774136287916,-3.4102625824009003,24694.83703498164
393.38631395255663,4585923.310412039,-4960430.00616895,589009.3964814302,3022.2999908551656,2417.4269230644613,-3.83107222602194,24644.437034981638
393.86631395255665,4587374.799488169,-4959267.562128451,589007.4565132792,3025.572859866269,2426.091958490958,-4.252177892258289,24594.037034981637
394.34631395255667,4588827.861992757,-4958100.955919972,589005.3143429968,3028.8559491730516,2434.7692990979285,-4.673581413704962,24543.637034981635
394.8263139525567,4590282.502840793,-4956930.181623389,589002.9698271704,3032.1492973500667,2443.4590017642668,-5.095284633952347,24493.237034981634
395.3063139525567,4591738.726965842,-4955755.233291193,589000.4228214998,3035.4529432155814,2452.1611237201637,-5.51728940768265,24442.837034981632
